id; sepal.length ; sepal.width ; petal.length ; petal.width ; variety ;
1; 5.10 ; 3.50 ; 1.40 ; 0.20 ; Setosa ;
2; 4.90 ; 3.00 ; 1.40 ; 0.20 ; Setosa ;
3; 4.70 ; 3.20 ; 1.30 ; 0.20 ; Setosa ;
4; 4.60 ; 3.10 ; 1.50 ; 0.20 ; Setosa ;
5; 5.00 ; 3.60 ; 1.40 ; 0.20 ; Setosa ;
6; 5.40 ; 3.90 ; 1.70 ; 0.40 ; Setosa ;
7; 4.60 ; 3.40 ; 1.40 ; 0.30 ; Setosa ;
8; 5.00 ; 3.40 ; 1.50 ; 0.20 ; Setosa ;
9; 4.40 ; 2.90 ; 1.40 ; 0.20 ; Setosa ;
10; 4.90 ; 3.10 ; 1.50 ; 0.10 ; Setosa ;
11; 5.40 ; 3.70 ; 1.50 ; 0.20 ; Setosa ;
12; 4.80 ; 3.40 ; 1.60 ; 0.20 ; Setosa ;
13; 4.80 ; 3.00 ; 1.40 ; 0.10 ; Setosa ;
14; 4.30 ; 3.00 ; 1.10 ; 0.10 ; Setosa ;
15; 5.80 ; 4.00 ; 1.20 ; 0.20 ; Setosa ;
16; 5.70 ; 4.40 ; 1.50 ; 0.40 ; Setosa ;
17; 5.40 ; 3.90 ; 1.30 ; 0.40 ; Setosa ;
18; 5.10 ; 3.50 ; 1.40 ; 0.30 ; Setosa ;
19; 5.70 ; 3.80 ; 1.70 ; 0.30 ; Setosa ;
20; 5.10 ;3.8;1.5;0.3;Setosa;
21; 5.40 ;3.4;1.7;0.2;Setosa;
22; 5.10 ;3.7;1.5;0.4;Setosa;
23; 4.60 ;3.6;1;0.2;Setosa;
24; 5.10 ;3.3;1.7;0.5;Setosa;
25; 4.80 ;3.4;1.9;0.2;Setosa;
26; 5.00 ;3;1.6;0.2;Setosa;
27; 5.00 ;3.4;1.6;0.4;Setosa;
28; 5.20 ;3.5;1.5;0.2;Setosa;
29; 5.20 ;3.4;1.4;0.2;Setosa;
30; 4.70 ;3.2;1.6;0.2;Setosa;
31; 4.80 ;3.1;1.6;0.2;Setosa;
32; 5.40 ;3.4;1.5;0.4;Setosa;
33; 5.20 ;4.1;1.5;0.1;Setosa;
34; 5.50 ;4.2;1.4;0.2;Setosa;
35; 4.90 ;3.1;1.5;0.2;Setosa;
36; 5.00 ;3.2;1.2;0.2;Setosa;
37; 5.50 ;3.5;1.3;0.2;Setosa;
38; 4.90 ;3.6;1.4;0.1;Setosa;
39; 4.40 ;3;1.3;0.2;Setosa;
40; 5.10 ;3.4;1.5;0.2;Setosa;
41; 5.00 ;3.5;1.3;0.3;Setosa;
42; 4.50 ;2.3;1.3;0.3;Setosa;
